sector,nom,ville,ile,telephone,email,site_web,instagram,facebook,adresse,notes
tatoueur,Mana'o Tattoo Studio Tahiti,Papeete,Tahiti,+689 40 42 45 00,manaotattootahiti@gmail.com,https://www.tattootahiti.com/,@manaotattootahiti,MANA'O TATTOO STUDIO TAHITI,"43 Rue Albert Leboucher, Papeete","Studio référence fondé 2003 — 7 tatoueurs — 24K Insta — HIGH PRIORITY"
tatoueur,Tattoo by Patu,Papeete,Tahiti,+689 87 75 31 73,tattoobypatu@gmail.com,https://tattoobypatu.com/,,TATTOO BY PATU,"133 rue des remparts Papeava, Papeete","Patu primé internationalement"
tatoueur,Tahiti Needles Tattoo,Papeete,Tahiti,+689 87 31 27 45,contact@tahitineedlestattoo.com,https://tahitineedlestattoo.com/,,,"Papeete","5 tatoueurs spécialisés polynésien"
tatoueur,NK Tattoo Tahiti,Papeete,Tahiti,+689 87 75 53 55,nktattoo@ymail.com,,,NK TATTOO TAHITI,"Front de mer, face Place Vaiete, Papeete",
tatoueur,Tagaloa Tattoo,Papeete,Tahiti,+689 40 83 36 09,taglaloatattoo@gmail.com,,,TAGALOA TATTOO,"Avenue Prince Hinoï, Papeete","Makalio Folituu et Philippe Aukara"
tatoueur,Taaroa Tattoo Shop,Papeete,Tahiti,+689 40 45 05 06,taaroatattoo@mail.pf,,,TAAROA TATTOO SHOP,"Arrêt bus front de mer, Papeete","Bruno Tupuai"
tatoueur,Pioro Tattoo,Papeete,Tahiti,+689 87 74 72 38,piorotatoo@yahoo.fr,,,PIORO TATTOO,"Marché municipal, Papeete","Vetea et Varii"
tatoueur,Akoti Tattoo,Papeete,Tahiti,+689 87 20 28 35,,,,,"Marché municipal, Papeete",
tatoueur,Efraima Tatoo,Papeete,Tahiti,+689 87 79 64 71,,,,EFRAIMA TATOO,"Marché municipal 1er étage, Papeete","Efraima et Siméon Huuti"
tatoueur,Heimanu Tatouage,Papeete,Tahiti,+689 87 79 45 20,,,,HEIMANU TATOUAGE,"Rue des écoles, Immeuble SGG, Papeete","Heimanu Raapoto"
tatoueur,Siméon Tatoo,Papeete,Tahiti,+689 87 70 36 34,hakatoakillian@yahoo.fr,,,SIMÉON TATOO,"Immeuble face marché, Papeete","Siméon Huuti"
tatoueur,Te Fara Tattoo,Papeete,Tahiti,+689 87 27 32 91,anji.tinihau@yahoo.fr,,,TE FARA TATTOO,"Avenue Prince Hinoï, Papeete","Tatoueur Henere"
tatoueur,Tikahiri Tatoo Shop,Papeete,Tahiti,+689 87 70 95 73,tikahiritattooshop@gmail.com,,,TIKAHIRI TATOO SHOP,"Boulevard Pomare, Papeete","Plusieurs tatoueurs en équipe"
tatoueur,Tiki Tatau,Papeete,Tahiti,+689 87 77 19 18,,,,TIKI TATAU TAEREA TAHITI,"Centre BRUAT, Papeete","Glenn Taerea"
tatoueur,Tini Ura Tatau,Papeete,Tahiti,+689 89 57 55 30,,,,FIRMIN TATOO,"Quartier Temaire Paofai, Papeete","Firmin Vanaa"
tatoueur,Tuhuka Tatoo,Papeete,Tahiti,+689 87 21 20 30,,,,TUTEA BARSINAS RAIOHA,"Immeuble Lévy, Papeete","Étienne Tutea Itae-Tetaa"
